cells,area_m2,area_km2,n_stream_cells,n_streams,n_order1,n_higher,max_order,drainage_density,t_abs,n_negative_drops,passes
10,7928.583272696886,0.007928583272696885,381,88,45,43,4,4.714604680330034,3.7209509981374933,1,False
20,15857.166545393771,0.01585716654539377,303,50,25,25,3,3.74941002136483,3.247133026455274,1,False
30,23785.749818090655,0.023785749818090656,263,36,18,18,3,3.2544384013826737,2.91514099069958,1,False
40,31714.333090787542,0.03171433309078754,243,32,16,16,3,3.006952591391596,2.619898776627578,1,False
50,39642.91636348442,0.03964291636348442,222,30,15,15,3,2.7470924909009646,2.3556826492069978,1,False
60,47571.49963618131,0.04757149963618131,205,30,15,15,3,2.536729552408548,1.7066943571204647,1,True
70,55500.0829088782,0.055500082908878194,193,30,15,15,3,2.3882380664139014,1.2049806558129155,1,True
80,63428.666181575085,0.06342866618157508,178,24,12,12,3,2.2026237089205933,2.9046889449542865,1,False
90,71357.24945427197,0.07135724945427196,163,20,10,10,3,2.0170093514272844,2.577388801298599,1,False
100,79285.83272696885,0.07928583272696885,154,20,10,10,3,1.9056407369312998,2.1793203441890836,1,False
110,87214.41599966574,0.08721441599966574,147,16,8,8,3,1.8190207034344223,3.1349828632442165,1,False
120,95142.99927236262,0.09514299927236262,139,16,8,8,3,1.720026379437991,2.709118097964544,1,False
130,103071.5825450595,0.1030715825450595,131,14,7,7,3,1.6210320554415598,2.636100763375245,1,False
140,111000.1658177564,0.11100016581775639,126,14,7,7,3,1.5591606029437906,2.322001047220922,1,False
150,118928.74909045328,0.11892874909045327,120,14,7,7,3,1.4849148599464672,2.047896140196368,1,False
160,126857.33236315017,0.12685733236315017,112,14,7,7,3,1.385920535950036,1.617531093020084,1,True
170,134785.91563584705,0.13478591563584705,108,12,6,6,3,1.3364233739518205,1.7462447821455898,1,True
180,142714.49890854393,0.14271449890854393,102,10,5,5,2,1.2621776309544972,2.103083946452608,1,False
190,150643.0821812408,0.1506430821812408,98,10,5,5,2,1.2126804689562816,2.034419459164466,1,False
200,158571.6654539377,0.1585716654539377,95,8,4,4,2,1.1755575974576198,2.3759112119842234,1,False
210,166500.2487266346,0.1665002487266346,93,8,4,4,2,1.150809016458512,2.4704948548497843,1,False
220,174428.83199933148,0.17442883199933149,92,8,4,4,2,1.138434725958958,2.480595658999772,1,False
230,182357.41527202836,0.18235741527202837,88,8,4,4,2,1.0889375639607426,2.373489982329785,1,False
240,190285.99854472524,0.19028599854472525,86,8,4,4,2,1.0641889829616349,2.328439640205632,1,False
250,198214.58181742212,0.19821458181742213,84,8,4,4,2,1.039440401962527,2.4010736755547417,1,False
260,206143.165090119,0.206143165090119,84,8,4,4,2,1.039440401962527,2.4010736755547417,1,False
270,214071.7483628159,0.21407174836281592,82,8,4,4,2,1.014691820963419,2.4693580008331173,1,False
280,222000.3316355128,0.22200033163551278,80,8,4,4,2,0.9899432399643115,2.5434505042742597,1,False
290,229928.91490820967,0.22992891490820966,78,8,4,4,2,0.9651946589652037,2.475570115821121,1,False
300,237857.49818090655,0.23785749818090654,74,8,4,4,2,0.9156974969669881,2.396471098615389,1,False
310,245786.08145360343,0.24578608145360342,73,8,4,4,2,0.9033232064674342,2.1497426227187577,1,False
320,253714.66472630034,0.25371466472630033,71,8,4,4,2,0.8785746254683263,1.8719198676778979,1,True
330,261643.24799899722,0.26164324799899724,65,8,4,4,2,0.8043288824710031,1.2097694421251923,1,True
340,269571.8312716941,0.2695718312716941,64,6,3,3,2,0.7919545919714491,1.9356899939540475,1,True
