cells,area_m2,area_km2,n_stream_cells,n_streams,n_order1,n_higher,max_order,drainage_density,t_abs,n_negative_drops,passes
10,7928.583272696886,0.007928583272696885,941,233,123,110,5,7.710861818973283,7.826098092981867,1,False
20,15857.166545393771,0.01585716654539377,509,84,44,40,4,4.170912503567908,6.442674538927491,1,False
30,23785.749818090655,0.023785749818090656,410,59,31,28,4,3.3596741187875088,5.15032144234889,1,False
40,31714.333090787542,0.03171433309078754,335,48,25,23,4,2.745099584862965,4.309243460985401,1,False
50,39642.91636348442,0.03964291636348442,294,36,19,17,4,2.409132172984214,3.501546635440246,1,False
60,47571.49963618131,0.04757149963618131,269,30,16,14,3,2.2042739950093657,2.9211911172621567,1,False
70,55500.0829088782,0.055500082908878194,243,25,13,12,3,1.9912214899155236,2.716577896057347,1,False
80,63428.666181575085,0.06342866618157508,227,21,11,10,3,1.860112256011621,2.5711141774593846,1,False
90,71357.24945427197,0.07135724945427196,214,19,10,9,3,1.7535860034647,2.024602389856646,1,False
100,79285.83272696885,0.07928583272696885,203,17,9,8,3,1.6634484051557668,2.24200730589369,1,False
110,87214.41599966574,0.08721441599966574,196,17,9,8,3,1.6060881153228093,2.0698370730437508,1,False
120,95142.99927236262,0.09514299927236262,191,17,9,8,3,1.5651164797278396,1.924025811908709,1,True
130,103071.5825450595,0.1030715825450595,185,17,9,8,3,1.5159505170138763,1.7819727322928078,1,True
140,111000.1658177564,0.11100016581775639,176,15,8,7,3,1.4422015729429307,1.5527277759346862,1,True
150,118928.74909045328,0.11892874909045327,171,15,8,7,3,1.4012299373479613,1.3705246409546312,1,True
160,126857.33236315017,0.12685733236315017,162,13,7,6,3,1.3274809932770157,1.5082879584952271,1,True
170,134785.91563584705,0.13478591563584705,159,13,7,6,3,1.3028980119200342,1.4183006554849669,1,True
180,142714.49890854393,0.14271449890854393,151,11,6,5,3,1.2373433949680828,1.40303957873555,1,True
190,150643.0821812408,0.1506430821812408,146,9,5,4,3,1.1963717593731131,1.1787657645636906,1,True
200,158571.6654539377,0.1585716654539377,144,9,5,4,3,1.1799831051351253,1.101462525430124,1,True
210,166500.2487266346,0.1665002487266346,141,9,5,4,3,1.1554001237781433,1.0050317476278576,1,True
220,174428.83199933148,0.17442883199933149,140,9,5,4,3,1.1472057966591496,0.9718517294180831,1,True
230,182357.41527202836,0.18235741527202837,138,9,5,4,3,1.1308171424211617,0.9270403064722638,1,True
240,190285.99854472524,0.19028599854472525,137,9,5,4,3,1.1226228153021676,0.8955705876077318,1,True
250,198214.58181742212,0.19821458181742213,134,9,5,4,3,1.098039833945186,0.814639637050225,1,True
260,206143.165090119,0.206143165090119,133,9,5,4,3,1.089845506826192,0.778759896758414,1,True
270,214071.7483628159,0.21407174836281592,128,9,5,4,3,1.0488738712312224,0.5895185438304066,1,True
280,222000.3316355128,0.22200033163551278,125,9,5,4,3,1.0242908898742407,0.46619491268936725,1,True
290,229928.91490820967,0.22992891490820966,122,9,5,4,3,0.9997079085172589,0.3296982024103597,1,True
300,237857.49818090655,0.23785749818090654,117,7,4,3,2,0.9587362729222892,1.1035961453871121,1,True
310,245786.08145360343,0.24578608145360342,113,7,4,3,2,0.9259589644463135,1.0078862302974536,1,True
320,253714.66472630034,0.25371466472630033,113,7,4,3,2,0.9259589644463135,1.0078862302974536,1,True
330,261643.24799899722,0.26164324799899724,111,7,4,3,2,0.9095703102083257,0.9681652911397877,1,True
340,269571.8312716941,0.2695718312716941,109,7,4,3,2,0.8931816559703378,0.8759535131571128,1,True
350,277500.414544391,0.277500414544391,106,7,4,3,2,0.868598674613356,0.8260851359594599,1,True
360,285428.99781708786,0.28542899781708786,106,7,4,3,2,0.868598674613356,0.8260851359594599,1,True
370,293357.58108978474,0.2933575810897847,103,7,4,3,2,0.8440156932563744,0.6381753440036528,1,True
380,301286.1643624816,0.3012861643624816,102,7,4,3,2,0.8358213661373803,0.6235455932085285,1,True
390,309214.7476351785,0.3092147476351785,102,7,4,3,2,0.8358213661373803,0.6235455932085285,1,True
400,317143.3309078754,0.3171433309078754,100,7,4,3,2,0.8194327118993925,0.5727663652892798,1,True
410,325071.9141805723,0.3250719141805723,95,5,3,2,2,0.7784610763044228,0.94783467349396,1,True
420,333000.4974532692,0.3330004974532692,94,5,3,2,2,0.7702667491854289,0.914840143483636,1,True
430,340929.0807259661,0.34092908072596606,92,5,3,2,2,0.7538780949474411,0.8604354109429627,1,True
440,348857.66399866296,0.34885766399866297,92,5,3,2,2,0.7538780949474411,0.8604354109429627,1,True
450,356786.24727135984,0.3567862472713598,91,5,3,2,2,0.7456837678284473,0.813161429326187,1,True
460,364714.8305440567,0.36471483054405673,90,5,3,2,2,0.7374894407094532,0.7747312108755874,1,True
470,372643.4138167536,0.3726434138167536,89,5,3,2,2,0.7292951135904593,0.7442440098672847,1,True
480,380571.9970894505,0.3805719970894505,89,5,3,2,2,0.7292951135904593,0.7442440098672847,1,True
490,388500.58036214736,0.38850058036214735,89,5,3,2,2,0.7292951135904593,0.7442440098672847,1,True
500,396429.16363484424,0.39642916363484426,87,5,3,2,2,0.7129064593524714,0.6690233730185519,1,True
510,404357.7469075411,0.4043577469075411,86,5,3,2,2,0.7047121322334775,0.6422228972746981,1,True
520,412286.330180238,0.412286330180238,86,5,3,2,2,0.7047121322334775,0.6422228972746981,1,True
530,420214.91345293494,0.42021491345293494,86,5,3,2,2,0.7047121322334775,0.6422228972746981,1,True
540,428143.4967256318,0.42814349672563184,85,5,3,2,2,0.6965178051144837,0.5899947949128915,1,True
550,436072.0799983287,0.4360720799983287,85,5,3,2,2,0.6965178051144837,0.5899947949128915,1,True
560,444000.6632710256,0.44400066327102555,84,5,3,2,2,0.6883234779954898,0.5433132392153203,1,True
570,451929.24654372246,0.45192924654372246,83,5,3,2,2,0.6801291508764957,0.5066492465965143,1,True
580,459857.82981641934,0.4598578298164193,83,5,3,2,2,0.6801291508764957,0.5066492465965143,1,True
590,467786.4130891162,0.4677864130891162,81,5,3,2,2,0.6637404966385079,0.46013504257783655,1,True
